y1,x1_COBYQA,x1_COBYLA,y2,x2_COBYQA,x2_COBYLA,y3,x3_COBYQA,x3_COBYLA,y4,x4_COBYQA,x4_COBYLA,y5,x5_COBYQA,x5_COBYLA,y6,x6_COBYQA,x6_COBYLA,y7,x7_COBYQA,x7_COBYLA,y8,x8_COBYQA,x8_COBYLA,y9,x9_COBYQA,x9_COBYLA
0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
0.002577319587628866,1.0,1.0,0.002577319587628866,1.0,1.0,0.002577319587628866,1.0,1.0,0.002577319587628866,1.0,1.0,0.002577319587628866,1.0,1.0,0.002577319587628866,1.0,1.0,0.002577319587628866,1.0,1.0,0.002577319587628866,1.0,1.0,0.002577319587628866,1.0,1.0
0.002577319587628866,1.0,1.0,0.002577319587628866,1.0,1.0,0.002577319587628866,1.0,1.0,0.002577319587628866,1.0,1.0,0.002577319587628866,1.0,1.0,0.002577319587628866,1.0,1.0,0.002577319587628866,1.0,1.0,0.002577319587628866,1.0,1.0,0.002577319587628866,1.0,1.0
0.005154639175257732,1.0,1.0,0.005154639175257732,1.0,1.0,0.005154639175257732,1.0,1.0,0.005154639175257732,1.0,1.0,0.005154639175257732,1.0,1.0,0.005154639175257732,1.0,1.0,0.005154639175257732,1.0,1.0,0.005154639175257732,1.0,1.0,0.005154639175257732,1.0,1.0
0.005154639175257732,1.0,1.0,0.005154639175257732,1.0,1.0,0.005154639175257732,1.0,1.0,0.005154639175257732,1.0,1.0,0.005154639175257732,1.0,1.0,0.005154639175257732,1.0,1.0,0.005154639175257732,1.0,1.0,0.005154639175257732,1.0,1.0,0.005154639175257732,1.0,1.0
0.007731958762886598,1.0,1.0,0.007731958762886598,1.0,1.0,0.007731958762886598,1.0,1.0,0.007731958762886598,1.0,1.0,0.007731958762886598,1.0,1.0,0.007731958762886598,1.0,1.0,0.007731958762886598,1.0,1.0,0.007731958762886598,1.0,1.0,0.007731958762886598,1.0,1.0
0.007731958762886598,1.0,1.0,0.007731958762886598,1.0,1.0,0.007731958762886598,1.0,1.0,0.007731958762886598,1.0,1.0,0.007731958762886598,1.0,1.0,0.007731958762886598,1.0,1.0,0.007731958762886598,1.0,1.0,0.007731958762886598,1.0,1.0,0.007731958762886598,1.0,1.0
0.010309278350515464,1.0,1.0,0.010309278350515464,1.0,1.0,0.010309278350515464,1.0,1.0,0.010309278350515464,1.0,1.0,0.010309278350515464,1.0,1.0,0.010309278350515464,1.0,1.0,0.010309278350515464,1.0,1.0,0.010309278350515464,1.0,1.0,0.010309278350515464,1.0,1.0
0.010309278350515464,1.0,1.0,0.010309278350515464,1.0,1.0,0.010309278350515464,1.0,1.0,0.010309278350515464,1.0,1.0,0.010309278350515464,1.0,1.0,0.010309278350515464,1.0,1.0,0.010309278350515464,1.0,1.0,0.010309278350515464,1.0,1.0,0.010309278350515464,1.0,1.0
0.01288659793814433,1.0,1.0,0.01288659793814433,1.0,1.0,0.01288659793814433,1.0,1.0,0.01288659793814433,1.0,1.0,0.01288659793814433,1.0,1.0,0.01288659793814433,1.0,1.0,0.01288659793814433,1.0,1.0,0.01288659793814433,1.0,1.0,0.01288659793814433,1.0,1.0
0.01288659793814433,1.0,1.0,0.01288659793814433,1.0,1.0,0.01288659793814433,1.0,1.0,0.01288659793814433,1.0,1.0,0.01288659793814433,1.0,1.0,0.01288659793814433,1.0,1.0,0.01288659793814433,1.0,1.0,0.01288659793814433,1.0,1.0,0.01288659793814433,1.0,1.0
0.015463917525773195,1.0,1.0,0.015463917525773195,1.0,1.0,0.015463917525773195,1.0,1.0,0.015463917525773195,1.0,1.0,0.015463917525773195,1.0,1.0,0.015463917525773195,1.0,1.0,0.015463917525773195,1.0,1.0,0.015463917525773195,1.0,1.0,0.015463917525773195,1.0,1.0
0.015463917525773195,1.0,1.0,0.015463917525773195,1.0,1.0,0.015463917525773195,1.0,1.0,0.015463917525773195,1.0,1.0,0.015463917525773195,1.0,1.0,0.015463917525773195,1.0,1.0,0.015463917525773195,1.0,1.0,0.015463917525773195,1.0,1.0,0.015463917525773195,1.0,1.0
0.018041237113402064,1.0,1.0,0.018041237113402064,1.0,1.0,0.018041237113402064,1.0,1.0,0.018041237113402064,1.0,1.0,0.018041237113402064,1.0,1.0,0.018041237113402064,1.0,1.0,0.018041237113402064,1.0,1.0,0.018041237113402064,1.0,1.0,0.018041237113402064,1.0,1.0
0.018041237113402064,1.0,1.0,0.018041237113402064,1.0,1.0,0.018041237113402064,1.0,1.0,0.018041237113402064,1.0,1.0,0.018041237113402064,1.0,1.0,0.018041237113402064,1.0,1.0,0.018041237113402064,1.0,1.0,0.018041237113402064,1.0,1.0,0.018041237113402064,1.0,1.0
